task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
6,cpu06,70/9bd6c4,nf-709bd6c46eeb280399aa061ae2587172,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385055,1701534385000,1701534462000,76945,1211,-,108.8,0.0,32944128,776900608,34107392,945324032,108732,1058015229,257,258322,4096,1058013184,135,93,/input/data/work/70/9bd6c46eeb280399aa061ae2587172,true,-,8,1,5,24
7,cpu06,6b/73f17b,nf-6b73f17b8bdbba383498528ae1b598bb,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385357,1701534386000,1701534462000,76643,1061,-,110.1,0.0,27877376,326901760,27877376,326938624,108702,877660139,254,214290,4096,877658112,5,5,/input/data/work/6b/73f17b8bdbba383498528ae1b598bb,true,-,7,0,5,23
22,cpu06,d0/be5ebe,nf-d0be5ebe3a92dac0a36c525a9061463c,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385637,1701534386000,1701534463000,77363,1110,-,106.8,0.0,27312128,367501312,28188672,590696448,108696,1050675174,254,256530,4096,1050673152,103,17,/input/data/work/d0/be5ebe3a92dac0a36c525a9061463c,true,-,8,0,4,22
29,cpu08,c9/b737d3,nf-c9b737d3e3fab73f085010db1510c7e9,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534384838,1701534385000,1701534474000,89162,1116,-,109.9,0.0,27656192,422273024,28536832,590696448,108754,1018169352,254,248594,32768,1018167296,109,26,/input/data/work/c9/b737d3e3fab73f085010db1510c7e9,true,-,34,11,35,65
27,cpu01,9e/803aed,nf-9e803aed7fc1a696128bc5b977729d95,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385133,1701534385000,1701534473000,87867,996,-,107.3,0.0,27783168,326901760,27783168,326938624,108493,913311733,252,222994,28672,913309696,3,7,/input/data/work/9e/803aed7fc1a696128bc5b977729d95,true,-,8,1,6,24
16,cpu08,3a/253d3d,nf-3a253d3d3279cd2f14c2b429d793c8ec,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385171,1701534385000,1701534473000,87829,1106,-,107.8,0.0,28135424,326901760,28798976,590700544,108734,887097330,254,216594,32768,887095296,110,24,/input/data/work/3a/253d3d3279cd2f14c2b429d793c8ec,true,-,6,1,6,24
25,cpu01,e7/5b42e6,nf-e75b42e6f9d86e325c046960b221b7af,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385433,1701534386000,1701534473000,87567,1115,-,108.3,0.0,27852800,422277120,28725248,590700544,108481,1001392107,252,244498,36864,1001390080,107,30,/input/data/work/e7/5b42e6f9d86e325c046960b221b7af,true,-,9,1,5,23
2,cpu08,65/e9d464,nf-65e9d4645d0264fb86b12b1aae3a22fe,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385468,1701534386000,1701534474000,88532,1177,-,88.1,0.0,28262400,326901760,28262400,326938624,108724,881854440,254,215314,32768,881852416,7,6,/input/data/work/65/e9d4645d0264fb86b12b1aae3a22fe,true,-,8,0,5,21
9,cpu01,e2/f35646,nf-e2f35646f3f61ec36db7d97036ab1770,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534385701,1701534386000,1701534473000,87299,2348,-,43.2,0.0,27443200,326901760,27443200,326938624,108480,875562984,252,213778,28672,875560960,5,8,/input/data/work/e2/f35646f3f61ec36db7d97036ab1770,true,-,7,1,4,18
21,cpu03,1d/988dbf,nf-1d988dbf50a83bc1e689d2392e5b0f97,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701534384887,1701534385000,1701534481000,96113,1079,-,110.3,0.0,27377664,326897664,27377664,326934528,108861,967837728,254,236306,4096,967835648,5,7,/input/data/work/1d/988dbf50a83bc1e689d2392e5b0f97,true,-,9,1,3,32
