task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
4,cpu09,-,68/30f6fd,nf-6830f6fda41819744881c29dc82bc0e8,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622371,1701427623000,1701427631000,8629,1054,-,102.3,0.0,3387392,5857280,3387392,5894144,109373,1012926545,250,247314,0,1012924416,4,3,/input/data/work/68/30f6fda41819744881c29dc82bc0e8,true,-,0,-,-,-,-,-,-,-,121,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,5,2,6,29,-
28,cpu09,-,d4/28eeb5,nf-d428eeb5ac4fc3a6baa8338f120eedbe,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622411,1701427624000,1701427631000,8589,1351,-,73.4,0.0,32530432,776908800,33632256,945328128,109407,950012019,250,231954,0,950009856,64,59,/input/data/work/d4/28eeb5ac4fc3a6baa8338f120eedbe,true,-,0,-,-,-,-,-,-,-,87,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,6,1,5,27,-
18,cpu09,-,57/741787,nf-577417874ec9aaaed3a2e09e16cca01d,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622448,1701427623000,1701427631000,8552,979,-,110.0,0.0,3375104,5857280,3375104,5894144,109388,973080671,250,237586,4096,973078528,2,1,/input/data/work/57/7417874ec9aaaed3a2e09e16cca01d,true,-,0,-,-,-,-,-,-,-,58,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,6,1,6,23,-
29,cpu08,-,bb/54b439,nf-bb54b439e96f77d523771d528d4ab90a,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622557,1701427624000,1701427631000,8443,1078,-,106.6,0.0,27275264,422281216,28454912,590700544,109367,1018169418,250,248594,0,1018167296,93,21,/input/data/work/bb/54b439e96f77d523771d528d4ab90a,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,5,1,6,25,-
16,cpu08,-,7a/2a1e1b,nf-7a2a1e1b07d180f04b12ed7639fa708e,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622594,1701427624000,1701427631000,8406,934,-,106.9,0.0,3252224,5857280,3252224,5894144,109215,887097416,248,216594,0,887095296,2,2,/input/data/work/7a/2a1e1b07d180f04b12ed7639fa708e,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,8,1,5,22,-
14,cpu08,-,32/c3894d,nf-32c3894dbb2655f5c3599f53d23bf408,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622630,1701427624000,1701427631000,8370,981,-,108.9,0.0,27734016,326897664,27734016,326934528,109369,961546314,250,234770,0,961544192,5,6,/input/data/work/32/c3894dbb2655f5c3599f53d23bf408,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,5,1,6,23,-
10,cpu07,-,5f/a2c530,nf-5fa2c5305306319e39ae8a83a74859af,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622664,1701427625000,1701427632000,9336,1105,-,98.7,0.0,32817152,776916992,33996800,945336320,109515,1021315160,250,249362,0,1021313024,106,93,/input/data/work/5f/a2c5305306319e39ae8a83a74859af,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,1,6,21,-
22,cpu07,-,98/231b44,nf-98231b4419489f1615cbf3448dceb3fc,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622702,1701427625000,1701427632000,9298,1053,-,104.6,0.0,27803648,326901760,27803648,326938624,109569,1050675343,250,256530,0,1050673152,5,6,/input/data/work/98/231b4419489f1615cbf3448dceb3fc,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,2,6,22,-
20,cpu07,-,db/3393e7,nf-db3393e7cac9ba993397e73b59a8cc09,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622736,1701427625000,1701427632000,9264,1048,-,93.7,0.0,3215360,5857280,3215360,5894144,109502,956303434,250,233490,0,956301312,4,4,/input/data/work/db/3393e7cac9ba993397e73b59a8cc09,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,6,1,5,21,-
3,cpu06,-,cb/9fb8a6,nf-cb9fb8a6625cbd916a4f827ff21da02a,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622768,1701427627000,1701427633000,10232,1033,-,97.9,0.0,27643904,326905856,27643904,326942720,109403,984615049,250,240402,0,984612864,5,3,/input/data/work/cb/9fb8a6625cbd916a4f827ff21da02a,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,1,5,20,-
9,cpu06,-,23/2b3319,nf-232b331946ca56dac153950639fa79db,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701427622797,1701427626000,1701427633000,10203,892,-,111.1,0.0,3272704,5857280,3272704,5894144,109192,875563089,247,213778,0,875560960,4,0,/input/data/work/23/2b331946ca56dac153950639fa79db,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,16,-
