task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
4,cpu10,-,97/5a2edb,nf-975a2edb36647788a74597e5fba2cde0,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532480914,1701532481000,1701532488000,7086,1004,-,110.2,0.0,28254208,326901760,28254208,326938624,109466,1012926545,251,247314,4096,1012924416,5,6,/input/data/work/97/5a2edb36647788a74597e5fba2cde0,true,-,0,-,-,-,-,-,-,-,123,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,123,-,-,-,-,-,-,50,13,33,32,-
31,cpu09,-,b3/0fc1be,nf-b30fc1be4bed4596c862768f0fa6f23d,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532480964,1701532481000,1701532489000,8036,974,-,107.1,0.0,27496448,326901760,27496448,326938624,109379,969934918,251,236818,16384,969932800,5,3,/input/data/work/b3/0fc1be4bed4596c862768f0fa6f23d,true,-,0,-,-,-,-,-,-,-,114,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,9,1,6,31,-
1,cpu09,-,4e/cddde7,nf-4ecddde7e0480d62b110d35a62dc7021,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481008,1701532481000,1701532489000,7992,1036,-,106.7,0.0,27844608,326901760,27844608,326938624,109396,1056966745,251,258066,4096,1056964608,5,6,/input/data/work/4e/cddde7e0480d62b110d35a62dc7021,true,-,0,-,-,-,-,-,-,-,89,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,7,1,6,29,-
32,cpu09,-,9a/3570a4,nf-9a3570a47773aab6479449fff7aa0cd4,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481049,1701532482000,1701532489000,7951,1008,-,107.1,0.0,27303936,326901760,27303936,326938624,109400,1069549667,250,261138,40960,1069547520,5,6,/input/data/work/9a/3570a47773aab6479449fff7aa0cd4,true,-,0,-,-,-,-,-,-,-,58,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,9,1,5,25,-
15,cpu10,-,0f/ea135f,nf-0fea135fd581d262945f39330eec1884,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481090,1701532481000,1701532488000,6910,902,-,112.7,0.0,27664384,326897664,27664384,326934528,109283,871368761,248,212754,4096,871366656,5,5,/input/data/work/0f/ea135fd581d262945f39330eec1884,true,-,0,-,-,-,-,-,-,-,41,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,1,5,26,-
3,cpu10,-,ee/31972a,nf-ee31972a098d9b47c0105857bfab5c7c,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481130,1701532481000,1701532488000,6870,965,-,113.6,0.0,28327936,326901760,28327936,326938624,109454,984614985,250,240402,4096,984612864,5,7,/input/data/work/ee/31972a098d9b47c0105857bfab5c7c,true,-,0,-,-,-,-,-,-,-,23,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,9,0,5,25,-
16,cpu08,-,61/3d19b6,nf-613d19b66aa9d2f34528cd4352fe779d,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481176,1701532481000,1701532488000,6824,881,-,109.3,0.0,27635712,326897664,27635712,326934528,109221,887097417,247,216594,12288,887095296,5,3,/input/data/work/61/3d19b66aa9d2f34528cd4352fe779d,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,12,1,6,25,-
10,cpu08,-,b6/3149e1,nf-b63149e13592eb7356594412d2093051,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481218,1701532482000,1701532488000,6782,1230,-,91.7,0.0,32755712,776908800,33861632,945328128,109613,1021315225,253,249362,28672,1021313024,160,88,/input/data/work/b6/3149e13592eb7356594412d2093051,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,10,0,5,26,-
17,cpu08,-,d2/13af61,nf-d213af61e9381e4e5d195beb176e21f8,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481261,1701532482000,1701532488000,6739,1221,-,89.8,0.0,32505856,776908800,33673216,945328128,109613,1017120921,253,248338,40960,1017118720,163,94,/input/data/work/d2/13af61e9381e4e5d195beb176e21f8,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,9,0,5,28,-
8,cpu07,-,44/94cb1e,nf-4494cb1ef8784db03367e475325805c9,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701532481302,1701532482000,1701532488000,6698,1059,-,98.8,0.0,27987968,326897664,27987968,326934528,109531,1017120873,250,248338,4096,1017118720,5,10,/input/data/work/44/94cb1ef8784db03367e475325805c9,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,7,1,5,27,-
