task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
6,cpu03,49/07d674,nf-4907d67494f681bc7ebd6d591d560baa,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456529,1701675458000,1701675502000,45471,1166,-,106.9,0.0,32698368,776908800,33816576,945332224,108808,1058015212,254,258322,0,1058013184,99,100,/input/data/work/49/07d67494f681bc7ebd6d591d560baa,true,-
26,cpu03,9c/b3eb73,nf-9cb3eb7362a78ce6492cf5b0e9661a83,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456689,1701675458000,1701675502000,45311,1491,-,89.6,0.0,32935936,776900608,34041856,945324032,108813,1048578025,256,256018,0,1048576000,73,69,/input/data/work/9c/b3eb7362a78ce6492cf5b0e9661a83,true,-
19,cpu03,a8/064214,nf-a8064214fe0b27f5ffd941f9de1661fb,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456899,1701675458000,1701675502000,45101,1170,-,107.1,0.0,32780288,776900608,33959936,945324032,108812,994052077,254,242706,0,994050048,103,98,/input/data/work/a8/064214fe0b27f5ffd941f9de1661fb,true,-
12,cpu08,e2/75cfff,nf-e275cfff0161c6a06575fc861b67d5a9,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456470,1701675461000,1701675519000,62530,1317,-,95.8,0.0,32763904,776908800,33878016,945332224,108768,1070598156,256,261394,0,1070596096,111,92,/input/data/work/e2/75cfff0161c6a06575fc861b67d5a9,true,-
34,cpu01,16/a3b6b0,nf-16a3b6b0b5ad34047efbcaa6f4b7a638,writeLargeFile,34,writeLargeFile (34),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456553,1701675457000,1701675519000,62447,1090,-,107.7,0.0,27848704,326897664,27848704,326934528,108494,991954933,252,242194,0,991952896,2,5,/input/data/work/16/a3b6b0b5ad34047efbcaa6f4b7a638,true,-
23,cpu07,1a/718b64,nf-1a718b64f14aecf1702e2e37f880615b,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456580,1701675466000,1701675519000,62420,1102,-,103.9,0.0,27414528,422273024,28594176,590696448,108831,1002440680,254,244754,0,1002438656,101,97,/input/data/work/1a/718b64f14aecf1702e2e37f880615b,true,-
13,cpu08,f6/ddd4fb,nf-f6ddd4fb67978f8e659249d204d0be55,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456663,1701675461000,1701675519000,62337,1257,-,94.0,0.0,32538624,776900608,33624064,945324032,108707,990906317,256,241938,0,990904320,112,92,/input/data/work/f6/ddd4fb67978f8e659249d204d0be55,true,-
28,cpu01,29/c49a4f,nf-29c49a4f5d134adf4fbfc31a72636d88,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456772,1701675457000,1701675519000,62228,1081,-,108.6,0.0,27971584,326901760,27971584,326938624,108482,950011881,252,231954,0,950009856,3,7,/input/data/work/29/c49a4f5d134adf4fbfc31a72636d88,true,-
20,cpu07,d6/4a7fab,nf-d64a7fab003ed9031e14581e231c74c1,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456800,1701675467000,1701675519000,62200,1193,-,100.7,0.0,32669696,776900608,33759232,945324032,108836,956303341,254,233490,0,956301312,102,92,/input/data/work/d6/4a7fab003ed9031e14581e231c74c1,true,-
7,cpu08,2e/55d18f,nf-2e55d18ff9d79e4df5fa4f6db2a81160,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456850,1701675461000,1701675519000,62150,1180,-,89.0,0.0,32645120,776908800,33710080,945332224,108766,877660176,254,214290,0,877658112,106,89,/input/data/work/2e/55d18ff9d79e4df5fa4f6db2a81160,true,-
5,cpu01,c7/a71d93,nf-c7a71d935f25750639e92fabe463eff6,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456976,1701675457000,1701675519000,62024,1015,-,109.0,0.0,27680768,326901760,27680768,326938624,108471,908068830,252,221714,0,908066816,2,8,/input/data/work/c7/a71d935f25750639e92fabe463eff6,true,-
25,cpu07,0f/34613b,nf-0f34613b1138805827384635645f9742,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457000,1701675467000,1701675519000,62000,1206,-,98.2,0.0,32718848,776900608,33898496,945324032,108820,1001392092,254,244498,0,1001390080,97,92,/input/data/work/0f/34613b1138805827384635645f9742,true,-
14,cpu02,46/dd5e4e,nf-46dd5e4ea9c5415db2a7b43eb30c43c9,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456375,1701675463000,1701675520000,63625,1192,-,106.6,0.0,32989184,776900608,34156544,945324032,108812,961546224,254,234770,32768,961544192,107,106,/input/data/work/46/dd5e4ea9c5415db2a7b43eb30c43c9,true,-
3,cpu10,f7/81c086,nf-f781c08668485045f62ff6a3dcd2b709,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456409,1701675464000,1701675521000,64591,1477,-,78.4,0.0,32931840,776900608,34050048,945324032,108788,984614880,254,240402,0,984612864,71,64,/input/data/work/f7/81c08668485045f62ff6a3dcd2b709,true,-
8,cpu06,5c/141b33,nf-5c141b3326444fd5f658b199bee70af8,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456442,1701675462000,1701675522000,65558,2213,-,51.0,0.0,32538624,776900608,33718272,945324032,108701,1017120733,255,248338,12288,1017118720,89,86,/input/data/work/5c/141b3326444fd5f658b199bee70af8,true,-
2,cpu09,75/f1b68a,nf-75f1b68afce3af77ca3beba20f2e262e,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456498,1701675462000,1701675521000,64502,1090,-,106.1,0.0,27271168,422277120,28401664,590700544,108726,881854433,254,215314,0,881852416,94,23,/input/data/work/75/f1b68afce3af77ca3beba20f2e262e,true,-
24,cpu02,6c/a4ed2b,nf-6ca4ed2b3d95017115a090c0c7c4e1e7,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456610,1701675463000,1701675520000,63390,1200,-,105.9,0.0,32841728,776900608,34009088,945324032,108797,1059063778,254,258578,4096,1059061760,100,100,/input/data/work/6c/a4ed2b3d95017115a090c0c7c4e1e7,true,-
17,cpu09,bf/f87b18,nf-bff87b1812e889deb6a3dc7320b7bd6c,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456635,1701675462000,1701675521000,64365,1229,-,96.5,0.0,32669696,776900608,33763328,945324032,108717,1017120729,254,248338,0,1017118720,98,96,/input/data/work/bf/f87b1812e889deb6a3dc7320b7bd6c,true,-
15,cpu10,66/1bd7ac,nf-661bd7acfbce90ef6f23158fbdb75d87,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456717,1701675464000,1701675521000,64283,1376,-,72.4,0.0,32866304,776900608,33984512,945324032,108788,871368672,254,212754,0,871366656,71,72,/input/data/work/66/1bd7acfbce90ef6f23158fbdb75d87,true,-
16,cpu06,7f/df29b7,nf-7fdf29b72ea3bb6e0c9581ad6636fe0f,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456746,1701675462000,1701675522000,65254,1075,-,102.1,0.0,27389952,422277120,28471296,590700544,108693,887097312,254,216594,0,887095296,94,19,/input/data/work/7f/df29b72ea3bb6e0c9581ad6636fe0f,true,-
32,cpu02,43/574def,nf-43574def7015381b955ac46d362e3899,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456825,1701675463000,1701675520000,63175,1223,-,104.6,0.0,32882688,776900608,34013184,945324032,108804,1069549546,254,261138,40960,1069547520,108,100,/input/data/work/43/574def7015381b955ac46d362e3899,true,-
31,cpu09,59/9a4d3f,nf-599a4d3f0bc523f2ef3b7feb6b387861,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456877,1701675462000,1701675521000,64123,1501,-,81.1,0.0,33046528,776900608,34226176,945324032,108732,969934816,256,236818,0,969932800,72,71,/input/data/work/59/9a4d3f0bc523f2ef3b7feb6b387861,true,-
18,cpu10,2c/72e562,nf-2c72e5629b1653062a44941bea285262,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456925,1701675464000,1701675521000,64075,1455,-,85.2,0.0,32899072,776900608,34078720,945324032,108788,973080544,254,237586,0,973078528,73,70,/input/data/work/2c/72e5629b1653062a44941bea285262,true,-
9,cpu06,2f/fbccf7,nf-2ffbccf7674ff1b31fc1d82472c309e8,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675456951,1701675462000,1701675522000,65049,1175,-,94.7,0.0,33058816,776900608,34238464,945324032,108701,875562984,254,213778,0,875560960,86,82,/input/data/work/2f/fbccf7674ff1b31fc1d82472c309e8,true,-
30,cpu03,c3/f01793,nf-c3f0179368b5618f18d82f437e2e7979,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457027,1701675505000,1701675520000,62973,992,-,109.2,0.0,27512832,326897664,27512832,326934528,108801,912263139,254,222738,0,912261120,5,6,/input/data/work/c3/f0179368b5618f18d82f437e2e7979,true,-
27,cpu03,49/d41693,nf-49d4169332e1c04c256cf7acd3da7d5a,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457159,1701675524000,1701675543000,85841,975,-,110.8,0.0,27639808,326897664,27639808,326934528,108813,913311726,254,222994,0,913309696,4,4,/input/data/work/49/d4169332e1c04c256cf7acd3da7d5a,true,-
1,cpu10,32/39a65e,nf-3239a65ef6c7f838332335498c72dcc2,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457053,1701675524000,1701675547000,89947,1236,-,99.0,0.0,32661504,776908800,33841152,945332224,108800,1056966631,256,258066,0,1056964608,104,107,/input/data/work/32/39a65ef6c7f838332335498c72dcc2,true,-
22,cpu02,d4/399b79,nf-d4399b796a68a8487500b33123c9a026,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457080,1701675524000,1701675546000,88920,1143,-,109.3,0.0,27930624,427597824,28962816,596021248,108802,1050675175,254,256530,28672,1050673152,119,105,/input/data/work/d4/399b796a68a8487500b33123c9a026,true,-
21,cpu10,72/69ae28,nf-7269ae28810a9df271061212fe71bf09,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457104,1701675524000,1701675547000,89896,1087,-,107.0,0.0,27537408,326901760,27537408,326938624,108777,967837654,254,236306,0,967835648,4,7,/input/data/work/72/69ae28810a9df271061212fe71bf09,true,-
29,cpu02,4b/9bae93,nf-4b9bae93b8543109537a64c768b982be,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457132,1701675524000,1701675546000,88868,1109,-,101.9,0.0,27652096,422273024,28471296,590696448,108772,1018169288,254,248594,36864,1018167296,108,33,/input/data/work/4b/9bae93b8543109537a64c768b982be,true,-
4,cpu10,32/cdd411,nf-32cdd411c1012ce14c4413b46bc5b5a3,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457184,1701675524000,1701675547000,89816,1160,-,108.9,0.0,32718848,776900608,33898496,945324032,108800,1012926445,254,247314,0,1012924416,108,105,/input/data/work/32/cdd411c1012ce14c4413b46bc5b5a3,true,-
11,cpu09,29/369d79,nf-29369d797544e42fa67ab9afd844ada8,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457217,1701675524000,1701675547000,89783,1002,-,113.5,0.0,27525120,326901760,27525120,326938624,108722,951060446,254,232210,0,951058432,4,5,/input/data/work/29/369d797544e42fa67ab9afd844ada8,true,-
37,cpu09,8d/7890b0,nf-8d7890b087f70ff03f7c2e8b1fee312f,writeLargeFile,37,writeLargeFile (37),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457360,1701675525000,1701675547000,89640,1105,-,100.4,0.0,27676672,422277120,28553216,590700544,108746,968886261,254,236562,0,968884224,101,19,/input/data/work/8d/7890b087f70ff03f7c2e8b1fee312f,true,-
38,cpu09,5d/793f19,nf-5d793f19029236357075b5fcc68eb621,writeLargeFile,38,writeLargeFile (38),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675457387,1701675525000,1701675547000,89613,1097,-,109.4,0.0,28225536,326901760,28225536,326938624,108725,954206176,254,232978,0,954204160,5,7,/input/data/work/5d/793f19029236357075b5fcc68eb621,true,-
110,cpu01,fa/a5745f,nf-faa5745f933df1a577c0c36ff222dd3e,revertFile,7,revertFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675520708,1701675523000,1701675610000,89292,75101,-,11.9,0.0,3952640,10248192,3952640,10285056,2633033749,877658530,160856,214286,0,877658112,97935,134,/input/data/work/fa/a5745f933df1a577c0c36ff222dd3e,true,-
101,cpu03,b9/c668d7,nf-b9c668d7333d5071406064f178c6b424,revertFile,6,revertFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675505440,1701675506000,1701675612000,106560,92334,-,11.3,0.0,3907584,10248192,3907584,10285056,3174099285,1058013607,193880,258318,0,1058013184,125419,271,/input/data/work/b9/c668d7333d5071406064f178c6b424,true,-
108,cpu02,ae/736e25,nf-ae736e25e3b76b03cca5da853737bde2,revertFile,28,revertFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675520625,1701675523000,1701675611000,90375,79786,-,12.2,0.0,3940352,10248192,3940352,10285056,2850089298,950010278,174104,231950,0,950009856,114327,429,/input/data/work/ae/736e25e3b76b03cca5da853737bde2,true,-
111,cpu07,64/bdf896,nf-64bdf896f6b07c6bafee1989b7db2b25,revertFile,5,revertFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675520791,1701675527000,1701675611000,90209,69137,-,13.7,0.0,3878912,10248192,3878912,10285056,2724260204,908067238,166424,221710,0,908066816,103830,233,/input/data/work/64/bdf896f6b07c6bafee1989b7db2b25,true,-
116,cpu03,7d/8d07bd,nf-7d8d07bd945505ac1cdf143b54aa33c6,revertFile,2,revertFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675525457,1701675545000,1701675612000,86543,52436,-,16.5,0.0,4104192,10248192,4104192,10285056,2645616979,881852838,161624,215310,0,881852416,101779,159,/input/data/work/7d/8d07bd945505ac1cdf143b54aa33c6,true,-
102,cpu03,b7/a9d897,nf-b7a9d897c6f7bcfc2617f5271276ea54,revertFile,26,revertFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675507314,1701675508000,1701675629000,121686,107936,-,9.6,0.0,3907584,10248192,3907584,10285056,3145787732,1048576422,192152,256014,0,1048576000,127834,223,/input/data/work/b7/a9d897c6f7bcfc2617f5271276ea54,true,-
103,cpu01,2d/62889a,nf-2d62889a2381476dde781fc4d82eb864,revertFile,19,revertFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675507453,1701675521000,1701675629000,121547,92074,-,10.9,0.0,3887104,10248192,3887104,10285056,2982209556,994050466,182168,242702,0,994050048,121098,557,/input/data/work/2d/62889a2381476dde781fc4d82eb864,true,-
107,cpu07,99/2d69f0,nf-992d69f08a8656f3986457a0ebdb39cf,revertFile,13,revertFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675520558,1701675528000,1701675628000,107442,81471,-,12.2,0.0,3809280,10248192,3809280,10285056,2972772717,990904742,181592,241934,0,990904320,120821,337,/input/data/work/99/2d69f08a8656f3986457a0ebdb39cf,true,-
109,cpu08,c6/0c5b1e,nf-c60c5b1e746816964a9f67827bf8f297,revertFile,20,revertFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675520650,1701675533000,1701675629000,108350,82643,-,11.6,0.0,3948544,10248192,3948544,10285056,2868963584,956301731,175256,233486,0,956301312,115489,198,/input/data/work/c6/0c5b1e746816964a9f67827bf8f297,true,-
112,cpu01,ea/63290c,nf-ea63290c069ea6eacb34378413ef7404,revertFile,25,revertFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701675520823,1701675521000,1701675629000,108177,90198,-,11.3,0.0,4063232,10248192,4063232,10285056,3004229654,1001390499,183512,244494,0,1001390080,117100,377,/input/data/work/ea/63290c069ea6eacb34378413ef7404,true,-
