task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu03,d7/590953,nf-d75909539b686493c7951e58cf3fa573,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1701372085071,1701372088000,1701372089000,3929,0,-,11.2,0.0,2908160,11567104,2908160,11571200,690687,9283,248,18,5718016,20480,2,0,/input/data/work/d7/5909539b686493c7951e58cf3fa573,true,-,7,2,3,32
3,cpu02,31/cc73c6,nf-31cc73c6c949636e3a228eab73c6f751,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1701372085110,1701372089000,1701372110000,24890,20000,-,72.7,0.0,6324224,12394496,6324224,12398592,3147403565,5965,48262,20,9990144,16384,86,4620,/input/data/work/31/cc73c6c949636e3a228eab73c6f751,true,-,7,1,3,26
1,cpu08,5d/d36509,nf-5dd36509013c13b94abd9d886723df83,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1701372085023,1701372087000,1701372115000,29977,26000,-,98.8,2.2,2913374208,2934870016,2913374208,2934874112,916296644,25693122,112011,3154,2928640,25702400,63,3483,/input/data/work/5d/d36509013c13b94abd9d886723df83,true,-,23,8,34,68
214,cpu03,39/42117c,nf-3942117cecfa15c3a544dee9636025f8,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1701372118542,1701372119000,1701372129000,10458,1000,-,2.0,0.0,2920448,11567104,2920448,11571200,102553,26546,196,23,4349952,20480,2,1,/input/data/work/39/42117cecfa15c3a544dee9636025f8,true,-,6,1,2,27
68,cpu02,b0/0cb822,nf-b00cb822047a112f3ef9af3af669a294,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701372094056,1701372094000,1701372151000,56944,55000,-,104.0,0.2,234360832,2941747200,234360832,3006763008,569674590,1717391,1082668,5479,19468288,2064384,6,6,/input/data/work/b0/0cb822047a112f3ef9af3af669a294,true,-,4,1,2,20
66,cpu09,a7/8ebd23,nf-a78ebd23779fa21a13c6b979ea9ed4f2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701372093657,1701372098000,1701372157000,63343,57000,-,104.6,0.2,256761856,3017633792,256962560,3048689664,601107640,1719635,1144123,5490,19337216,1998848,6,7,/input/data/work/a7/8ebd23779fa21a13c6b979ea9ed4f2,true,-,6,1,2,18
70,cpu08,b3/0b12b6,nf-b30b12b623afcf6eb311af10aea46311,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701372094026,1701372094000,1701372153000,58974,56000,-,103.9,0.2,236560384,2941747200,236814336,3006763008,555725982,1718994,1055550,5445,19816448,2048000,6,7,/input/data/work/b3/0b12b623afcf6eb311af10aea46311,true,-,5,1,3,20
48,cpu02,33/19df0a,nf-3319df0ac23e3b524ca39edf8e19aeef,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701372093322,1701372094000,1701372161000,67678,65000,-,103.6,0.2,236257280,2941747200,236257280,3006763008,670731708,1758079,1280155,5550,0,2179072,11,5,/input/data/work/33/19df0ac23e3b524ca39edf8e19aeef,true,-,4,2,3,18
56,cpu10,4a/d21ab6,nf-4ad21ab6d91741ef7387b7c762e8ad0b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701372093688,1701372098000,1701372159000,65312,59000,-,104.4,0.2,234807296,2941747200,235008000,3006763008,610734910,1723937,1162894,5490,19271680,2019328,6,6,/input/data/work/4a/d21ab6d91741ef7387b7c762e8ad0b,true,-,4,1,3,22
61,cpu09,ff/aebee4,nf-ffaebee44d4eebdab4dd075989491bf7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701372093908,1701372098000,1701372158000,64092,58000,-,103.6,0.2,241729536,3012005888,241729536,3077021696,595351324,1730284,1132904,5528,81920,2215936,6,7,/input/data/work/ff/aebee44d4eebdab4dd075989491bf7,true,-,47,1,3,22
