task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,cpu09,e3/caf356,nf-e3caf356ec595ae41c7a9625471c50d9,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1701646599078,1701646602000,1701646604000,4922,0,-,9.3,0.0,2891776,11567104,2891776,11571200,690606,9278,248,18,5877760,20480,2,0,/input/data/work/e3/caf356ec595ae41c7a9625471c50d9,true,-
3,cpu08,f9/17db06,nf-f917db06e7f029e614c74c6f1e944154,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1701646599049,1701646603000,1701646625000,25951,16000,-,87.6,0.0,6287360,12394496,6287360,12398592,3147403484,5962,48262,20,6295552,16384,89,4240,/input/data/work/f9/17db06e7f029e614c74c6f1e944154,true,-
1,cpu02,99/836ed3,nf-99836ed31fa2720b8e24333e874a4f31,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1701646599013,1701646606000,1701646637000,37987,29000,-,90.4,2.1,2856800256,2877718528,2856800256,2877722624,916296733,25693126,112011,3154,2912256,25702400,65,3856,/input/data/work/99/836ed31fa2720b8e24333e874a4f31,true,-
214,cpu08,bc/174194,nf-bc174194ce9dce281e2f84ebac8cee9e,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1701646628499,1701646629000,1701646644000,15501,11000,-,0.3,0.0,2899968,11567104,2899968,11571200,102468,26542,196,23,729088,20480,2,2,/input/data/work/bc/174194ce9dce281e2f84ebac8cee9e,true,-
70,cpu03,db/193dc2,nf-db193dc29ad1e08d9966aaadf249d886,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701646609452,1701646610000,1701646669000,59548,55000,-,103.1,0.2,235614208,2941747200,235892736,3006767104,569675038,1717401,1082704,5479,52416512,2015232,163,28,/input/data/work/db/193dc29ad1e08d9966aaadf249d886,true,-
59,cpu02,62/2d9eac,nf-622d9eac5ec87e4c24d26534d820532d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701646609304,1701646610000,1701646671000,61696,58000,-,102.9,0.2,236888064,2941747200,237166592,2942750720,610736083,1723937,1163078,5490,19488768,2052096,6,3,/input/data/work/62/2d9eac5ec87e4c24d26534d820532d,true,-
65,cpu08,03/5df494,nf-035df494c10b56f5879f86565a486274,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701646609350,1701646610000,1701646671000,61650,58000,-,103.8,0.2,235884544,2941747200,236097536,2942750720,595351778,1730283,1132925,5465,19247104,2109440,6,5,/input/data/work/03/5df494c10b56f5879f86565a486274,true,-
69,cpu10,2f/92547d,nf-2f92547d7f4e8cab16c7d50be13747b2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701646609474,1701646612000,1701646673000,63526,58000,-,103.0,0.2,236838912,2941747200,236859392,3006763008,601107539,1719636,1144131,5490,19128320,1998848,7,7,/input/data/work/2f/92547d7f4e8cab16c7d50be13747b2,true,-
71,cpu01,08/58d2ff,nf-0858d2ff569193c828929af73533608a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701646609525,1701646610000,1701646675000,65475,63000,-,88.4,0.2,236228608,2941747200,236228608,3006763008,555725900,1718991,1055564,5487,19288064,2015232,3,6,/input/data/work/08/58d2ff569193c828929af73533608a,true,-
80,cpu10,e3/419684,nf-e34196848448f888b6b7016b7c506904,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701646609695,1701646612000,1701646673000,63305,59000,-,104.1,0.2,235655168,2941747200,235655168,3006763008,599678885,1727117,1141313,5494,32858112,1986560,164,33,/input/data/work/e3/4196848448f888b6b7016b7c506904,true,-
