task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,cpu09,46/8715e5,nf-468715e57881972aa9e6eaa1cd4cb88b,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1701717449855,1701717450000,1701717451000,1145,0,-,80.0,0.0,9175040,32280576,9175040,32288768,690614,9280,248,18,5349376,20480,45,7,/input/data/work/46/8715e57881972aa9e6eaa1cd4cb88b,true,-
72,cpu01,2c/bf44db,nf-2cbf44dbb483d0b1da76820f93858aca,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701717458758,1701717459000,1701717574000,115242,112000,-,61.1,0.2,257323008,3017633792,257949696,3048689664,591852968,1719340,1125881,5439,590290944,2031616,4,5,/input/data/work/2c/bf44dbb483d0b1da76820f93858aca,true,-
30,cpu01,21/12d4c3,nf-2112d4c3be06926465093c5654310059,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701717454829,1701717455000,1701717623000,168171,167000,-,62.3,0.2,292376576,3021828096,292376576,3048689664,907640549,1760369,1742816,5549,886841344,2232320,4,3,/input/data/work/21/12d4c3be06926465093c5654310059,true,-
36,cpu01,94/a04a77,nf-94a04a775164f842d733abd0edbab0b1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701717455097,1701717456000,1701717619000,163903,156000,-,61.7,0.2,298627072,3021828096,298627072,3048689664,832740832,1754260,1596456,5534,812015616,2138112,4,2,/input/data/work/94/a04a775164f842d733abd0edbab0b1,true,-
14,cpu01,ee/6ef6d4,nf-ee6ef6d43c0465b971a3dac8e65ae7d6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701717454467,1701717455000,1701717637000,182533,180000,-,64.0,0.2,236777472,2941747200,236777472,2942750720,1042657924,1756186,2006348,5543,1038774272,2301952,159,33,/input/data/work/ee/6ef6d43c0465b971a3dac8e65ae7d6,true,-
60,cpu09,b4/901a90,nf-b4901a9043084dc7de03a888611bf556,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701717456001,1701717456000,1701717638000,181999,171000,-,258.3,1.0,1347973120,3208011776,1367556096,3273039872,12049682089,11403805881,1519559,343101,630804480,516960256,652575,15623,/input/data/work/b4/901a9043084dc7de03a888611bf556,true,-
87,cpu01,3a/c4dd60,nf-3ac4dd6056999f7f8fc0a7036c0c5445,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701717458082,1701717459000,1701717634000,175918,172000,-,63.2,0.2,259305472,3017633792,260268032,3049443328,957659232,1746985,1840465,5533,936865792,2220032,4,6,/input/data/work/3a/c4dd6056999f7f8fc0a7036c0c5445,true,-
18,cpu02,05/2f9d12,nf-052f9d12fe0a242e70c800ec73d6e74b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1701717454506,1701717455000,1701717639000,184494,178000,-,48.3,0.2,254734336,3017633792,254734336,3048689664,886177179,1754311,1700924,5544,80195584,2117632,42,3,/input/data/work/05/2f9d12fe0a242e70c800ec73d6e74b,true,-
61,cpu08,ca/ed2236,nf-caed22363554d4c82069d1c846ecdbe9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701717455778,1701717456000,1701717644000,188222,182000,-,257.9,1.0,1348317184,3131744256,1372008448,3133177856,12526370849,11857685207,1581509,356532,660692992,536817664,676151,16835,/input/data/work/ca/ed22363554d4c82069d1c846ecdbe9,true,-
67,cpu06,ec/74200a,nf-ec74200abcc931ae8993151b1d7db385,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1701717457570,1701717459000,1701717640000,182430,172000,-,258.3,1.0,1335332864,3131801600,1356537856,3133247488,11643077795,11018878545,1468942,331762,617287680,498049024,649848,15962,/input/data/work/ec/74200abcc931ae8993151b1d7db385,true,-
