task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,cpu08,66/e2a6df,nf-66e2a6dfd6a13348f39acb20fe489095,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431118316,1701431125000,1701431139000,20684,5968,-,19.6,0.0,32604160,709799936,33771520,945332224,108733,1056966640,254,258066,0,1056964608,23,16,/input/data/work/66/e2a6dfd6a13348f39acb20fe489095,true,-,32,8,29,73
5,cpu03,e2/034440,nf-e2034440f0506e9e791c6164a62506cd,revertFile,4,revertFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144579,1701431146000,1701431247000,102421,52573,-,18.4,0.0,3944448,10248192,3944448,10285056,3170953556,1056965030,193688,258062,0,1056964608,152001,197,/input/data/work/e2/034440f0506e9e791c6164a62506cd,true,-,5,2,5,27
2,cpu03,51/8ef062,nf-518ef0623de202dda6a45d4242590c1f,revertFile,1,revertFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144877,1701431147000,1701431247000,102123,52568,-,19.0,0.0,3780608,10248192,3780608,10285056,3170953555,1056965030,193688,258062,0,1056964608,144001,208,/input/data/work/51/8ef0623de202dda6a45d4242590c1f,true,-,4,1,5,20
12,cpu03,96/6b6510,nf-966b65109b71996eea44d359e28e242d,revertFile,11,revertFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431145130,1701431147000,1701431247000,101870,52540,-,19.1,0.0,3899392,10248192,3899392,10285056,3170953556,1056965030,193688,258062,0,1056964608,130531,205,/input/data/work/96/6b65109b71996eea44d359e28e242d,true,-,4,1,5,22
31,cpu07,6c/3e3078,nf-6c3e307857f1040596d5221272591aa0,revertFile,30,revertFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144777,1701431154000,1701431256000,111223,44992,-,21.3,0.0,3715072,10248192,3715072,10285056,3170953581,1056965030,193688,258062,0,1056964608,158738,185,/input/data/work/6c/3e307857f1040596d5221272591aa0,true,-,4,1,5,51
24,cpu07,b6/4fffbc,nf-b64fffbcc02238ce57160601be232483,revertFile,23,revertFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431145040,1701431153000,1701431256000,110960,45823,-,21.1,0.0,3805184,10248192,3805184,10285056,3170953580,1056965030,193688,258062,0,1056964608,153711,153,/input/data/work/b6/4fffbcc02238ce57160601be232483,true,-,5,1,5,20
8,cpu07,1b/f766e9,nf-1bf766e9e0a9fa01ade342c360a774fe,revertFile,7,revertFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431145293,1701431153000,1701431256000,110707,45794,-,21.5,0.0,3858432,10248192,3858432,10285056,3170953580,1056965030,193688,258062,0,1056964608,132002,119,/input/data/work/1b/f766e9e0a9fa01ade342c360a774fe,true,-,4,1,4,22
28,cpu08,63/046c2f,nf-63046c2fbc11b9e99b4ce9ec1eacbbbf,revertFile,27,revertFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144527,1701431155000,1701431259000,114473,44241,-,22.2,0.0,3969024,10248192,3969024,10285056,3170953464,1056965026,193688,258062,0,1056964608,133317,121,/input/data/work/63/046c2fbc11b9e99b4ce9ec1eacbbbf,true,-,7,1,5,32
13,cpu02,78/121819,nf-78121819b5126879ac6858fa193428bd,revertFile,12,revertFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144615,1701431155000,1701431259000,114385,44097,-,21.9,0.0,4087808,10248192,4087808,10285056,3170953550,1056965030,193688,258062,0,1056964608,142021,152,/input/data/work/78/121819b5126879ac6858fa193428bd,true,-,4,1,6,24
21,cpu09,c0/582d69,nf-c0582d69f078a35c4753c8e37bed8598,revertFile,20,revertFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144648,1701431155000,1701431259000,114352,44234,-,21.6,0.0,3952640,10248192,3952640,10285056,3170953464,1056965026,193688,258062,0,1056964608,142681,118,/input/data/work/c0/582d69f078a35c4753c8e37bed8598,true,-,5,1,4,22
30,cpu10,9e/86cca4,nf-9e86cca4f221a90d4e522ff9d6b5fb17,revertFile,29,revertFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144682,1701431155000,1701431259000,114318,43679,-,22.1,0.0,3854336,10248192,3854336,10285056,3170953542,1056965028,193688,258062,0,1056964608,121931,96,/input/data/work/9e/86cca4f221a90d4e522ff9d6b5fb17,true,-,5,2,5,21
6,cpu06,b4/9e589d,nf-b49e589dce8430ca1f083ce356f46101,revertFile,5,revertFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144715,1701431155000,1701431259000,114285,44062,-,21.5,0.0,3960832,10248192,3960832,10285056,3170953439,1056965026,193688,258062,0,1056964608,143796,124,/input/data/work/b4/9e589dce8430ca1f083ce356f46101,true,-,4,1,5,22
3,cpu01,b4/354f1e,nf-b4354f1edf57dc29f848755d5a6f3a2c,revertFile,2,revertFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144813,1701431145000,1701431259000,114187,54071,-,18.4,0.0,4030464,10248192,4030464,10285056,3170953231,1056965026,193688,258062,0,1056964608,119663,78,/input/data/work/b4/354f1edf57dc29f848755d5a6f3a2c,true,-,6,1,5,23
32,cpu08,e7/0d3ec7,nf-e70d3ec70225bb364961056f9367c54c,revertFile,31,revertFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144846,1701431155000,1701431259000,114154,44242,-,22.0,0.0,3878912,10248192,3878912,10285056,3170953463,1056965026,193688,258062,0,1056964608,149492,205,/input/data/work/e7/0d3ec70225bb364961056f9367c54c,true,-,5,1,5,21
22,cpu02,b7/b1c7ed,nf-b7b1c7eda691e5dff2b7af5d76d95cca,revertFile,21,revertFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144911,1701431155000,1701431259000,114089,44095,-,21.8,0.0,3911680,10248192,3911680,10285056,3170953551,1056965030,193688,258062,0,1056964608,133065,116,/input/data/work/b7/b1c7eda691e5dff2b7af5d76d95cca,true,-,5,1,5,22
14,cpu09,41/c44bde,nf-41c44bde213f2f43c21943cffc9dd97c,revertFile,13,revertFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144945,1701431155000,1701431259000,114055,44167,-,21.9,0.0,4009984,10248192,4009984,10285056,3170953464,1056965026,193688,258062,0,1056964608,127634,68,/input/data/work/41/c44bde213f2f43c21943cffc9dd97c,true,-,6,0,5,22
27,cpu10,f4/31fdcc,nf-f431fdcceb02fbcfc66bbcbdedc1156e,revertFile,26,revertFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431144975,1701431155000,1701431259000,114025,43770,-,21.5,0.0,3727360,10248192,3727360,10285056,3170953541,1056965028,193688,258062,0,1056964608,145274,145,/input/data/work/f4/31fdcceb02fbcfc66bbcbdedc1156e,true,-,5,1,4,19
4,cpu06,15/079ebc,nf-15079ebc4525dc80d32efd6f508ef6ad,revertFile,3,revertFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701431145008,1701431155000,1701431259000,113992,44192,-,21.9,0.0,3903488,10248192,3903488,10285056,3170953439,1056965026,193688,258062,0,1056964608,119623,63,/input/data/work/15/079ebc4525dc80d32efd6f508ef6ad,true,-,7,0,5,19
