task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
18,cpu10,ed/6b3e3f,nf-ed6b3e3fb17c72b5f5755a4f6c3f8534,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160451,1701434161000,1701434203000,42549,1305,-,87.3,0.0,32890880,776900608,34045952,945324032,108797,973080555,254,237586,0,973078528,79,72,/input/data/work/ed/6b3e3fb17c72b5f5755a4f6c3f8534,true,-,3,1,5,24
27,cpu10,3c/7d90a1,nf-3c7d90a11f36560404cc86a989f5a655,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160736,1701434162000,1701434203000,42264,1038,-,107.0,0.0,27525120,326901760,27525120,326938624,108787,913311713,254,222994,0,913309696,5,8,/input/data/work/3c/7d90a11f36560404cc86a989f5a655,true,-,5,1,5,25
4,cpu10,96/e97f3f,nf-96e97f3f927e510f52c45e84ab2760d7,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160997,1701434162000,1701434203000,42003,1139,-,109.9,0.0,27779072,422277120,28577792,590700544,108789,1012926435,254,247314,0,1012924416,102,22,/input/data/work/96/e97f3f927e510f52c45e84ab2760d7,true,-,6,0,4,20
5,cpu03,f7/09f7bb,nf-f709f7bb918dd52dc545e61c8ff6ad8f,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160342,1701434171000,1701434209000,48658,1099,-,99.2,0.0,32088064,771588096,33267712,940011520,108813,908068845,254,221714,0,908066816,91,90,/input/data/work/f7/09f7bb918dd52dc545e61c8ff6ad8f,true,-,6,1,6,30
16,cpu02,a8/c31688,nf-a8c31688cbe43aeccf7adca199c4d2d9,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160379,1701434163000,1701434210000,49621,1210,-,98.1,0.0,32788480,776900608,33951744,945324032,108797,887097314,254,216594,0,887095296,88,88,/input/data/work/a8/c31688cbe43aeccf7adca199c4d2d9,true,-,3,1,5,27
1,cpu07,e6/a5e218,nf-e6a5e218272eaf9f62f27907e823590e,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160525,1701434168000,1701434211000,50475,1295,-,94.3,0.0,32669696,776908800,33783808,945332224,108880,1056966673,256,258066,28672,1056964608,118,103,/input/data/work/e6/a5e218272eaf9f62f27907e823590e,true,-,5,1,5,22
11,cpu03,54/b820d0,nf-54b820d0a9c3e994192cb9a608dce160,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160630,1701434171000,1701434209000,48370,1243,-,92.6,0.0,32591872,776908800,33759232,945332224,108802,951060451,254,232210,0,951058432,87,81,/input/data/work/54/b820d0a9c3e994192cb9a608dce160,true,-,4,1,5,21
25,cpu02,41/923642,nf-41923642cea5ca3e5af85a5edadbcd02,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160663,1701434163000,1701434210000,49337,1923,-,65.6,0.0,32854016,709799936,34009088,945332224,108826,1001392123,255,244498,0,1001390080,28,21,/input/data/work/41/923642cea5ca3e5af85a5edadbcd02,true,-,4,0,5,23
42,cpu07,0d/54ca5f,nf-0d54ca5f75013bf2afaee3e406a1bdc2,writeLargeFile,42,writeLargeFile (42),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160801,1701434168000,1701434211000,50199,1084,-,104.6,0.0,27242496,422273024,28319744,590696448,108867,869271564,254,212242,24576,869269504,106,30,/input/data/work/0d/54ca5f75013bf2afaee3e406a1bdc2,true,-,5,1,4,20
10,cpu01,a5/1d6190,nf-a51d6190bcfb73a437f0a478cfe58097,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701434160834,1701434161000,1701434212000,51166,1113,-,107.1,0.0,27615232,422273024,28368896,590696448,108489,1021315062,252,249362,0,1021313024,104,20,/input/data/work/a5/1d6190bcfb73a437f0a478cfe58097,true,-,5,2,4,21
