task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
24,cpu08,f1/83d298,nf-f183d2982615a6092ebf2499c99494c9,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324061,1701542324000,1701542408000,83939,1202,-,109.0,0.0,32993280,776908800,34107392,945332224,108755,1059063804,257,258578,4096,1059061760,163,87,/input/data/work/f1/83d2982615a6092ebf2499c99494c9,true,-,31,12,35,64
17,cpu09,16/f67a38,nf-16f67a38cc99c1c23d4ca3f1a1cca73d,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324199,1701542324000,1701542405000,80801,1086,-,109.6,0.0,27705344,326901760,27705344,326938624,108731,1017120750,254,248338,4096,1017118720,5,4,/input/data/work/16/f67a38cc99c1c23d4ca3f1a1cca73d,true,-,7,1,6,24
8,cpu08,f5/ca8eb6,nf-f5ca8eb65d16014e6d8b2f360fe15266,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324388,1701542325000,1701542408000,83612,1164,-,107.3,0.0,32948224,776900608,34111488,945324032,108730,1017120750,254,248338,4096,1017118720,145,96,/input/data/work/f5/ca8eb65d16014e6d8b2f360fe15266,true,-,6,1,5,22
3,cpu03,05/dc4b94,nf-05dc4b9434bcfce34e5c83626d2b2143,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324424,1701542325000,1701542415000,90576,1130,-,107.3,0.0,27832320,422277120,28618752,590700544,108779,984614864,254,240402,4096,984612864,103,19,/input/data/work/05/dc4b9434bcfce34e5c83626d2b2143,true,-,7,1,5,21
2,cpu09,e7/16e6ee,nf-e716e6ee84a9ee7d00098bcd32790de3,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324496,1701542325000,1701542404000,79504,1036,-,110.6,0.0,27402240,326901760,27402240,326938624,108727,881854441,254,215314,4096,881852416,5,5,/input/data/work/e7/16e6ee84a9ee7d00098bcd32790de3,true,-,7,1,4,22
34,cpu08,16/c6bdb9,nf-16c6bdb953375aaffd98ad52968ccebd,writeLargeFile,34,writeLargeFile (34),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324682,1701542325000,1701542408000,83318,1095,-,107.5,0.0,27623424,326897664,27623424,326934528,108719,991954912,254,242194,4096,991952896,5,5,/input/data/work/16/c6bdb953375aaffd98ad52968ccebd,true,-,7,1,4,21
21,cpu03,96/8383e1,nf-968383e1bf65f9ecd0bff559e66f495f,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324717,1701542325000,1701542415000,90283,1089,-,107.5,0.0,27701248,326901760,27701248,326938624,108809,967837677,254,236306,4096,967835648,5,5,/input/data/work/96/8383e1bf65f9ecd0bff559e66f495f,true,-,7,1,5,21
19,cpu09,05/ed93ad,nf-05ed93ad9f2bcf14cd8f86cac33a1531,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324791,1701542325000,1701542405000,80209,1116,-,109.6,0.0,28168192,422277120,28889088,590700544,108717,994052063,254,242706,4096,994050048,104,18,/input/data/work/05/ed93ad9f2bcf14cd8f86cac33a1531,true,-,9,1,3,25
6,cpu06,25/804847,nf-2580484726321a4c43ead2220f9babb9,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324862,1701542325000,1701542423000,98138,1144,-,108.4,0.0,32702464,776908800,33816576,945332224,108707,1058015217,254,258322,4096,1058013184,128,101,/input/data/work/25/80484726321a4c43ead2220f9babb9,true,-,7,1,4,23
18,cpu01,f0/1d56ba,nf-f01d56ba556da36d3a754df9aacfd6c7,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701542324930,1701542325000,1701542423000,98070,1362,-,83.8,0.0,28205056,326901760,28205056,326938624,108480,973080552,252,237586,0,973078528,5,6,/input/data/work/f0/1d56ba556da36d3a754df9aacfd6c7,true,-,8,1,3,19
