task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
21,cpu08,-,ce/c378dc,nf-cec378dc38a1cb33ed7c82b24d324418,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432731969,1701432732000,1701432739000,7031,1226,-,81.6,0.0,32763904,776908800,33861632,945328128,109426,967837828,250,236306,0,967835648,97,72,/input/data/work/ce/c378dc38a1cb33ed7c82b24d324418,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,4,1,6,24,-
31,cpu08,-,a3/492068,nf-a34920685c848b2c758811a804c7d0f6,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732007,1701432732000,1701432739000,6993,952,-,109.8,0.0,3379200,5857280,3379200,5894144,109249,969934947,250,236818,0,969932800,2,2,/input/data/work/a3/4920685c848b2c758811a804c7d0f6,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,5,1,5,26,-
11,cpu08,-,7c/535e82,nf-7c535e824f62b2e8aeeff50793bff0ba,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732044,1701432733000,1701432739000,6956,1075,-,94.9,0.0,27684864,326901760,27684864,326938624,109465,951060650,250,232210,0,951058432,5,7,/input/data/work/7c/535e824f62b2e8aeeff50793bff0ba,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,5,1,5,25,-
10,cpu01,-,54/19405c,nf-5419405c06cc7ebb7e4c31a72ec0c58e,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732490,1701432733000,1701432740000,7510,1005,-,107.9,0.0,27631616,326897664,27631616,326934528,109099,1021315128,248,249362,0,1021313024,2,5,/input/data/work/54/19405c06cc7ebb7e4c31a72ec0c58e,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,5,1,4,20,-
14,cpu01,-,fd/a90801,nf-fda908011be9c023406697f3d7e33e4c,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732522,1701432733000,1701432740000,7478,969,-,104.7,0.0,27627520,326897664,27627520,326934528,109109,961546305,248,234770,0,961544192,2,7,/input/data/work/fd/a908011be9c023406697f3d7e33e4c,true,-,0,-,-,-,-,-,-,-,11,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,5,0,5,21,-
28,cpu01,-,26/6e571a,nf-266e571a2fabe3f5704142ffd32ae957,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732550,1701432733000,1701432740000,7450,957,-,107.9,0.0,27631616,326897664,27631616,326934528,109108,950011969,248,231954,0,950009856,2,6,/input/data/work/26/6e571a2fabe3f5704142ffd32ae957,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,5,0,4,18,-
99,cpu08,-,01/b83656,nf-01b83656d5e14a2dc1cc6728b624fdf3,writeLargeFile,99,writeLargeFile (99),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432735191,1701432743000,1701432746000,10809,862,-,113.3,0.0,27750400,326897664,27750400,326934528,109207,959449158,247,234258,0,959447040,6,6,/input/data/work/01/b83656d5e14a2dc1cc6728b624fdf3,true,-,0,-,-,-,-,-,-,-,6597,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,4,1,3,21,-
25,cpu10,-,4b/ca4ceb,nf-4bca4ceb6203e989447545fcb0c1d4ff,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432731725,1701432738000,1701432744000,12275,959,-,108.7,0.0,3162112,5857280,3162112,5894144,109488,1001392236,250,244498,0,1001390080,4,3,/input/data/work/4b/ca4ceb6203e989447545fcb0c1d4ff,true,-,0,-,-,-,-,-,-,-,119,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,118,-,-,-,-,-,-,28,11,33,31,-
32,cpu09,-,53/cf28af,nf-53cf28afe041604d06960bb3a666af5c,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432731769,1701432741000,1701432745000,13231,926,-,112.6,0.0,27947008,326897664,27947008,326934528,109260,1069549692,247,261138,0,1069547520,5,3,/input/data/work/53/cf28afe041604d06960bb3a666af5c,true,-,0,-,-,-,-,-,-,-,123,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,6,1,6,29,-
12,cpu09,-,c4/565221,nf-c4565221a819e8c990a9a0c54c44288d,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432731811,1701432740000,1701432745000,13189,941,-,112.5,0.0,27455488,326901760,27455488,326938624,109218,1070598219,249,261394,0,1070596096,5,8,/input/data/work/c4/565221a819e8c990a9a0c54c44288d,true,-,0,-,-,-,-,-,-,-,88,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,6,1,6,28,-
15,cpu10,-,4b/97a5f8,nf-4b97a5f85199b30b17b4d7de8bee1b3d,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432731891,1701432738000,1701432744000,12109,825,-,112.8,0.0,27230208,326901760,27230208,326938624,109295,871368777,247,212754,0,871366656,5,7,/input/data/work/4b/97a5f85199b30b17b4d7de8bee1b3d,true,-,0,-,-,-,-,-,-,-,33,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,1,5,28,-
1,cpu10,-,10/abc254,nf-10abc2544971381e8e14a1c3bf7621dc,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432731932,1701432739000,1701432744000,12068,962,-,108.2,0.0,27549696,326897664,27549696,326934528,109464,1056966741,250,258066,0,1056964608,5,5,/input/data/work/10/abc2544971381e8e14a1c3bf7621dc,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,6,1,6,27,-
5,cpu07,-,71/62140d,nf-7162140dc3f7d4371ca62650c78259d0,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732080,1701432742000,1701432745000,12920,830,-,108.5,0.0,27660288,326897664,27660288,326934528,109327,908068925,247,221714,32768,908066816,5,9,/input/data/work/71/62140dc3f7d4371ca62650c78259d0,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,1,5,23,-
38,cpu07,-,3b/8d7f28,nf-3b8d7f2803cfe9c19484ae8c7efaa6fe,writeLargeFile,38,writeLargeFile (38),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732115,1701432738000,1701432742000,9885,908,-,116.2,0.0,27635712,326897664,27635712,326934528,109354,954206296,247,232978,36864,954204160,5,7,/input/data/work/3b/8d7f2803cfe9c19484ae8c7efaa6fe,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,23,-
16,cpu07,-,c8/d616e9,nf-c8d616e9dc48d7e5a03773fbf5004d88,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732144,1701432738000,1701432742000,9856,1017,-,101.9,0.0,3395584,5857280,3395584,5894144,109611,887097522,251,216594,32768,887095296,4,4,/input/data/work/c8/d616e9dc48d7e5a03773fbf5004d88,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,1,5,17,-
18,cpu06,-,b4/1cd46b,nf-b41cd46be1fb988ba0e339853622021c,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732178,1701432739000,1701432746000,13822,982,-,110.3,0.0,27435008,326897664,27435008,326934528,109338,973080648,250,237586,0,973078528,5,7,/input/data/work/b4/1cd46be1fb988ba0e339853622021c,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,4,1,4,22,-
20,cpu06,-,f3/2254a4,nf-f32254a4c52e05d1d984707efde73cf4,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732216,1701432739000,1701432746000,13784,1000,-,105.6,0.0,3186688,5857280,3186688,5894144,109400,956303494,250,233490,0,956301312,2,2,/input/data/work/f3/2254a4c52e05d1d984707efde73cf4,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,1,6,25,-
24,cpu06,-,cd/699d28,nf-cd699d28a23ca56cda7e1df74d2838d4,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732249,1701432739000,1701432746000,13751,1045,-,100.2,0.0,27525120,326901760,27525120,326938624,109368,1059063913,250,258578,0,1059061760,5,8,/input/data/work/cd/699d28a23ca56cda7e1df74d2838d4,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,20,-
6,cpu03,-,54/a592f5,nf-54a592f56762fa904269440d3dc99156,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732285,1701432740000,1701432748000,15715,1016,-,109.9,0.0,27619328,326901760,27619328,326938624,109499,1058015334,250,258322,0,1058013184,5,6,/input/data/work/54/a592f56762fa904269440d3dc99156,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,6,23,-
26,cpu03,-,b5/871c77,nf-b5871c770c4484d35a4851eb95bfaec1,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701432732320,1701432741000,1701432748000,15680,1015,-,108.1,0.0,3252224,5857280,3252224,5894144,109534,1048578186,250,256018,0,1048576000,4,3,/input/data/work/b5/871c770c4484d35a4851eb95bfaec1,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,1,6,21,-
