task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,cpu01,94/3dde3d,nf-943dde3d3e6519cdce7e4d5951206a09,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681765,1701679682000,1701679713000,31235,1000,-,108.4,0.0,27541504,326905856,27541504,326942720,108500,881854458,252,215314,0,881852416,2,5,/input/data/work/94/3dde3d3e6519cdce7e4d5951206a09,true,-
31,cpu01,5d/f775e8,nf-5df775e8958f5a0535ef332db168bd88,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681971,1701679682000,1701679713000,31029,1126,-,105.1,0.0,27615232,422277120,28540928,590700544,108484,969934826,252,236818,0,969932800,94,21,/input/data/work/5d/f775e8958f5a0535ef332db168bd88,true,-
23,cpu01,b9/bc24c1,nf-b9bc24c1f67adb36e9e680d359de3dd2,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679682160,1701679682000,1701679713000,30840,1082,-,110.5,0.0,27611136,326901760,27611136,326938624,108488,1002440683,253,244754,0,1002438656,2,7,/input/data/work/b9/bc24c1f67adb36e9e680d359de3dd2,true,-
10,cpu03,2a/e3eeaa,nf-2ae3eeaa4b0bec087d3bada9eccbfda0,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681738,1701679683000,1701679716000,34262,1259,-,102.8,0.0,32780288,776900608,33959936,945324032,108808,1021315044,255,249362,0,1021313024,97,90,/input/data/work/2a/e3eeaa4b0bec087d3bada9eccbfda0,true,-
17,cpu03,14/fb3477,nf-14fb34774d479f38737c55fe99700b9e,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681840,1701679683000,1701679716000,34160,1221,-,106.8,0.0,32935936,776908800,34009088,945332224,108800,1017120723,257,248338,0,1017118720,103,97,/input/data/work/14/fb34774d479f38737c55fe99700b9e,true,-
6,cpu03,98/8106d0,nf-988106d0ab3b1f6cb2516d5144a0eac8,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679682076,1701679683000,1701679716000,33924,1229,-,94.7,0.0,32731136,776900608,33771520,945324032,108801,1058015191,257,258322,0,1058013184,101,100,/input/data/work/98/8106d0ab3b1f6cb2516d5144a0eac8,true,-
13,cpu10,b6/0a244d,nf-b60a244dbbee7c64e46d933e6bb107b4,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681684,1701679683000,1701679736000,54316,1109,-,106.9,0.0,32907264,776900608,34086912,945324032,108812,990906360,254,241938,0,990904320,102,101,/input/data/work/b6/0a244dbbee7c64e46d933e6bb107b4,true,-
3,cpu10,ee/93accf,nf-ee93accf5ff9a2d357db1ed98a550ce2,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681896,1701679683000,1701679736000,54104,1455,-,90.0,0.0,32681984,776908800,33808384,945332224,108847,984614931,256,240402,0,984612864,80,75,/input/data/work/ee/93accf5ff9a2d357db1ed98a550ce2,true,-
14,cpu10,74/dae303,nf-74dae3039fb463a3752b143c2551a214,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679682126,1701679683000,1701679736000,53874,1137,-,103.6,0.0,32624640,776900608,33701888,945324032,108798,961546218,254,234770,0,961544192,100,100,/input/data/work/74/dae3039fb463a3752b143c2551a214,true,-
12,cpu02,e4/59c44e,nf-e459c44e2ce837da919b920d39bcc216,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701679681572,1701679700000,1701679765000,83428,8265,-,14.3,0.0,27357184,422273024,28372992,590696448,108784,1070598093,253,261394,36864,1070596096,111,29,/input/data/work/e4/59c44e2ce837da919b920d39bcc216,true,-
