task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
31,cpu08,10/e2ed9f,nf-10e2ed9f156a3878f432129896d3496b,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742475713,1701742476000,1701742563000,87287,1069,-,108.4,0.0,27713536,326897664,27713536,326934528,108763,969934855,254,236818,8192,969932800,5,6,/input/data/work/10/e2ed9f156a3878f432129896d3496b,true,-
27,cpu08,09/83a5dc,nf-0983a5dcc7c96dc857111830d2286c38,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476039,1701742476000,1701742563000,86961,1064,-,108.8,0.0,27471872,326897664,27471872,326934528,108740,913311723,255,222994,4096,913309696,5,7,/input/data/work/09/83a5dcc7c96dc857111830d2286c38,true,-
2,cpu03,83/3f8ddd,nf-833f8ddd688b56206b0454ca0541a700,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476071,1701742476000,1701742569000,92929,1046,-,110.2,0.0,27787264,326897664,27787264,326934528,108799,881854426,255,215314,4096,881852416,5,5,/input/data/work/83/3f8ddd688b56206b0454ca0541a700,true,-
15,cpu06,8b/cb27cb,nf-8bcb27cb900da479bfadf197be110185,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476101,1701742476000,1701742569000,92899,1034,-,108.7,0.0,27435008,326897664,27435008,326934528,108713,871368683,255,212754,4096,871366656,5,7,/input/data/work/8b/cb27cb900da479bfadf197be110185,true,-
11,cpu08,82/16730e,nf-8216730e4bd05d98b1af37605ddb8bb7,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476234,1701742477000,1701742564000,87766,1080,-,110.2,0.0,27418624,326901760,27418624,326938624,108735,951060459,254,232210,8192,951058432,5,5,/input/data/work/82/16730e4bd05d98b1af37605ddb8bb7,true,-
17,cpu03,cb/17586e,nf-cb17586e0ab3b39d3155b12c2f564937,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476265,1701742477000,1701742570000,93735,1102,-,110.3,0.0,27508736,326901760,27508736,326938624,108803,1017120740,254,248338,4096,1017118720,104,20,/input/data/work/cb/17586e0ab3b39d3155b12c2f564937,true,-
1,cpu06,5a/722a26,nf-5a722a269e3741725b081e36e588c963,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476358,1701742477000,1701742570000,93642,1164,-,109.0,0.0,32731136,776900608,33837056,945324032,108712,1056966641,254,258066,4096,1056964608,159,101,/input/data/work/5a/722a269e3741725b081e36e588c963,true,-
13,cpu01,dd/60fcf0,nf-dd60fcf0a069921dce8014c31d9da803,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476386,1701742477000,1701742572000,95614,1075,-,105.9,0.0,27582464,326897664,27582464,326934528,108485,990906345,252,241938,0,990904320,3,10,/input/data/work/dd/60fcf0a069921dce8014c31d9da803,true,-
10,cpu07,eb/935b0d,nf-eb935b0d4a5945fdb7c8352574474705,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742476413,1701742477000,1701742573000,96587,1344,-,89.9,0.0,27746304,422277120,28422144,590700544,108807,1021315026,254,249362,4096,1021313024,103,20,/input/data/work/eb/935b0d4a5945fdb7c8352574474705,true,-
32,cpu02,78/9479c3,nf-789479c3759686ca0dddfda2bca0b148,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701742475628,1701742476000,1701742574000,98372,1162,-,106.5,0.0,32641024,776908800,33751040,945332224,108828,1069549568,254,261138,4096,1069547520,113,96,/input/data/work/78/9479c3759686ca0dddfda2bca0b148,true,-
