task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
18,cpu01,ef/b6142f,nf-efb6142f4f123f36261c12292b42a73f,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434264,1701436435000,1701436458000,23736,1050,-,108.5,0.0,27549696,326901760,27549696,326938624,108493,973080570,252,237586,24576,973078528,2,6,/input/data/work/ef/b6142f4f123f36261c12292b42a73f,true,-,4,1,4,23
19,cpu01,40/ea7452,nf-40ea74520932291f67de679a2d991f3e,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434529,1701436435000,1701436458000,23471,1100,-,109.7,0.0,27561984,326901760,27561984,326938624,108477,994052073,252,242706,0,994050048,2,9,/input/data/work/40/ea74520932291f67de679a2d991f3e,true,-,5,2,5,25
26,cpu01,e9/343a50,nf-e9343a50fb2e1148094e12ef4259ec6b,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434807,1701436435000,1701436458000,23193,1120,-,110.0,0.0,27619328,422281216,28418048,590704640,108483,1048578033,252,256018,0,1048576000,99,17,/input/data/work/e9/343a50fb2e1148094e12ef4259ec6b,true,-,5,0,3,21
23,cpu02,5d/9a2cbf,nf-5d9a2cbf2f6ca77a3a782df5467010d3,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434094,1701436437000,1701436467000,32906,1305,-,86.1,0.0,32751616,776908800,33898496,945332224,108799,1002440677,254,244754,0,1002438656,85,86,/input/data/work/5d/9a2cbf2f6ca77a3a782df5467010d3,true,-,5,1,6,26
1,cpu07,1b/957809,nf-1b95780967dd0cc172eb4d6bdc596d77,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434230,1701436436000,1701436466000,31770,1215,-,101.3,0.0,32825344,776900608,34004992,945324032,108832,1056966627,256,258066,0,1056964608,116,115,/input/data/work/1b/95780967dd0cc172eb4d6bdc596d77,true,-,5,1,5,21
9,cpu08,e8/9de4ed,nf-e89de4ed1334fce4dc4f3ba989a9c506,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434297,1701436438000,1701436474000,39703,1052,-,105.7,0.0,3272704,5857280,3272704,5894144,108758,875563024,254,213778,0,875560960,4,2,/input/data/work/e8/9de4ed1334fce4dc4f3ba989a9c506,true,-,3,1,5,22
15,cpu03,b0/f3b1bc,nf-b0f3b1bc053554f95cf8eb05cbfc5aec,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434331,1701436456000,1701436497000,62669,1413,-,79.1,0.0,32755712,776908800,33853440,945332224,108811,871368684,254,212754,0,871366656,65,57,/input/data/work/b0/f3b1bc053554f95cf8eb05cbfc5aec,true,-,4,1,5,23
20,cpu02,64/3c6197,nf-643c6197d0d1e187f233c7b8cc26ecfd,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434359,1701436437000,1701436467000,32641,1282,-,84.6,0.0,32681984,776908800,33832960,945332224,108797,956303331,254,233490,0,956301312,82,84,/input/data/work/64/3c6197d0d1e187f233c7b8cc26ecfd,true,-,4,1,4,18
3,cpu09,2c/dfe384,nf-2cdfe3846d0c08cd2e68a5eb7f58fa2c,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434394,1701436440000,1701436498000,63606,8676,-,14.2,0.0,32399360,776900608,33579008,945324032,108740,984614900,254,240402,0,984612864,64,55,/input/data/work/2c/dfe3846d0c08cd2e68a5eb7f58fa2c,true,-,5,0,5,24
21,cpu06,69/bc16ba,nf-69bc16ba8aaa34724c364e78aeaac16f,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701436434458,1701436451000,1701436500000,65542,1205,-,93.8,0.0,32993280,776908800,34160640,945332224,108696,967837673,254,236306,0,967835648,92,96,/input/data/work/69/bc16ba8aaa34724c364e78aeaac16f,true,-,5,0,4,21
