task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
30,cpu07,b2/0760d2,nf-b20760d271844b227dc6c765007cfdd5,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547417571,1701547418000,1701547486000,68429,969,-,108.7,0.0,27496448,326897664,27496448,326934528,108828,912263140,254,222738,4096,912261120,5,6,/input/data/work/b2/0760d271844b227dc6c765007cfdd5,true,-,55,1,5,38
20,cpu07,6e/dffb9d,nf-6edffb9d4350f46d6822ad8804b5035e,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547418350,1701547419000,1701547486000,67650,1068,-,102.0,0.0,27619328,326901760,27619328,326938624,108827,956303331,254,233490,4096,956301312,6,5,/input/data/work/6e/dffb9d4350f46d6822ad8804b5035e,true,-,49,1,5,41
6,cpu07,e3/4872ed,nf-e34872edf04dec105a68ca4113d9419a,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547419227,1701547420000,1701547487000,67773,1355,-,87.8,0.0,32751616,776900608,33906688,945324032,108822,1058015200,254,258322,4096,1058013184,83,74,/input/data/work/e3/4872edf04dec105a68ca4113d9419a,true,-,57,1,4,49
15,cpu10,e7/99ac6b,nf-e799ac6b1be879fd15e9f8fa5f77a828,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547417430,1701547418000,1701547507000,89570,926,-,109.4,0.0,27766784,326905856,27766784,326942720,108789,871368684,252,212754,4096,871366656,5,3,/input/data/work/e7/99ac6b1be879fd15e9f8fa5f77a828,true,-,10,1,4,24
14,cpu10,c4/988ec1,nf-c4988ec1f818fb8071b4bc8b67a77930,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547418152,1701547418000,1701547507000,88848,1004,-,110.0,0.0,27836416,326897664,27836416,326934528,108798,961546220,254,234770,4096,961544192,5,4,/input/data/work/c4/988ec1f818fb8071b4bc8b67a77930,true,-,50,1,5,36
32,cpu09,84/69f048,nf-8469f0488c95fc79960ed756384f4e5b,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547418854,1701547419000,1701547514000,95146,1161,-,101.4,0.0,27570176,326901760,27570176,326938624,108731,1069549552,254,261138,40960,1069547520,5,4,/input/data/work/84/69f0488c95fc79960ed756384f4e5b,true,-,51,1,4,37
17,cpu10,b1/d83212,nf-b1d83212b962cb086684e66b881fb331,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547418994,1701547420000,1701547507000,88006,1612,-,69.9,0.0,32735232,776908800,33890304,945332224,108789,1017120735,254,248338,4096,1017118720,57,47,/input/data/work/b1/d83212b962cb086684e66b881fb331,true,-,42,1,5,90
7,cpu06,17/047012,nf-170470121956e190ed5e3775c2472690,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547419114,1701547419000,1701547524000,104886,1061,-,96.7,0.0,27799552,326901760,27799552,326938624,108687,877660126,253,214290,4096,877658112,5,3,/input/data/work/17/0470121956e190ed5e3775c2472690,true,-,50,2,4,63
21,cpu08,df/c645d5,nf-dfc645d54194433355472f240de1d23f,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547417060,1701547417000,1701547527000,109940,1263,-,98.0,0.0,32944128,776908800,34025472,945332224,108805,967837736,257,236306,4096,967835648,159,75,/input/data/work/df/c645d54194433355472f240de1d23f,true,-,69,13,35,92
12,cpu03,92/2d2064,nf-922d20644475a97ccfded82610861cae,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701547417183,1701547417000,1701547532000,114817,1111,-,111.1,0.0,27713536,422273024,28442624,590696448,108831,1070598149,254,261394,4096,1070596096,104,19,/input/data/work/92/2d20644475a97ccfded82610861cae,true,-,57,1,6,55
