task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
25,cpu09,-,7e/ccdea4,nf-7eccdea40cba80df4b5b2895bf418723,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025481,1701435026000,1701435033000,7519,1033,-,99.4,0.0,3256320,5857280,3256320,5894144,109363,1001392197,250,244498,0,1001390080,2,3,/input/data/work/7e/ccdea40cba80df4b5b2895bf418723,true,-,0,-,-,-,-,-,-,-,120,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,7,1,5,25,-
12,cpu09,-,35/53033f,nf-3553033f11b134b44d4327b544e27cbd,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025520,1701435026000,1701435033000,7480,1081,-,105.1,0.0,27295744,422277120,28352512,590696448,109369,1070598219,250,261394,0,1070596096,95,31,/input/data/work/35/53033f11b134b44d4327b544e27cbd,true,-,0,-,-,-,-,-,-,-,88,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,5,2,5,25,-
2,cpu09,-,89/bf8164,nf-89bf8164ede5d79ae304f6f36c9fcdfb,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025558,1701435026000,1701435033000,7442,959,-,105.7,0.0,3158016,5857280,3158016,5894144,109203,881854521,249,215314,0,881852416,2,3,/input/data/work/89/bf8164ede5d79ae304f6f36c9fcdfb,true,-,0,-,-,-,-,-,-,-,58,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,5,1,5,26,-
28,cpu08,-,25/34e0a8,nf-2534e0a8f6590ada6b0fb448bc67b3e7,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025671,1701435026000,1701435033000,7329,919,-,108.5,0.0,3358720,5857280,3358720,5894144,109239,950012003,247,231954,0,950009856,2,4,/input/data/work/25/34e0a8f6590ada6b0fb448bc67b3e7,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,7,1,5,21,-
11,cpu08,-,7f/ce485d,nf-7fce485dbf55bfe86296dc0739fd36e7,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025705,1701435026000,1701435033000,7295,944,-,105.7,0.0,3276800,5857280,3276800,5894144,109210,951060552,247,232210,0,951058432,2,3,/input/data/work/7f/ce485dbf55bfe86296dc0739fd36e7,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,1,5,21,-
31,cpu08,-,9d/06da71,nf-9d06da713a307ee97b25af4d39e9f882,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025740,1701435026000,1701435033000,7260,1187,-,89.4,0.0,32583680,776908800,33685504,945328128,109480,969935033,250,236818,0,969932800,141,77,/input/data/work/9d/06da713a307ee97b25af4d39e9f882,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,6,1,5,22,-
8,cpu07,-,4e/4c220e,nf-4e4c220ed1e4c125b831e54ddd178aaf,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025774,1701435028000,1701435035000,9226,1029,-,92.6,0.0,27664384,326901760,27664384,326938624,109535,1017120876,250,248338,0,1017118720,5,7,/input/data/work/4e/4c220ed1e4c125b831e54ddd178aaf,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,0,4,23,-
15,cpu07,-,52/27837c,nf-5227837c2e0e8b116dcf8900cdc6acc6,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025808,1701435028000,1701435035000,9192,939,-,108.8,0.0,27496448,326897664,27496448,326934528,109348,871368778,249,212754,0,871366656,5,6,/input/data/work/52/27837c2e0e8b116dcf8900cdc6acc6,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,4,23,-
32,cpu07,-,e4/b71268,nf-e4b712682dc2e86fd70722868aabf4dc,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025842,1701435028000,1701435035000,9158,1040,-,107.9,0.0,3248128,5857280,3248128,5894144,109537,1069549679,250,261138,0,1069547520,6,3,/input/data/work/e4/b712682dc2e86fd70722868aabf4dc,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,1,5,21,-
1,cpu06,-,7e/468811,nf-7e4688116e2c5875618632d47b3fe6e4,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025875,1701435029000,1701435036000,10125,1081,-,96.5,0.0,28205056,326897664,28205056,326934528,109393,1056966784,250,258066,0,1056964608,5,9,/input/data/work/7e/4688116e2c5875618632d47b3fe6e4,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,4,22,-
22,cpu06,-,8d/492736,nf-8d4927367783c7908d636c9e06d1703b,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025907,1701435028000,1701435036000,10093,1012,-,110.9,0.0,3182592,5857280,3182592,5894144,109345,1050675275,251,256530,0,1050673152,4,1,/input/data/work/8d/4927367783c7908d636c9e06d1703b,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,0,4,22,-
24,cpu06,-,8f/403ac7,nf-8f403ac7bf80a5849b262e58d226ec14,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435025941,1701435029000,1701435036000,10059,1105,-,106.9,0.0,27774976,326897664,27774976,326934528,109385,1059063927,250,258578,0,1059061760,101,24,/input/data/work/8f/403ac7bf80a5849b262e58d226ec14,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,1,5,22,-
19,cpu02,-,51/d91764,nf-51d91764834e42fe238e29bbda860720,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435026079,1701435026000,1701435033000,6921,999,-,108.1,0.0,3248128,5857280,3248128,5894144,109494,994052188,250,242706,0,994050048,2,3,/input/data/work/51/d91764834e42fe238e29bbda860720,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,6,0,5,22,-
4,cpu02,-,e1/3f938f,nf-e13f938f455548e6bbe100ca87b6284f,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435026110,1701435026000,1701435033000,6890,1012,-,101.7,0.0,3366912,5857280,3366912,5894144,109497,1012926559,250,247314,0,1012924416,2,4,/input/data/work/e1/3f938f455548e6bbe100ca87b6284f,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,5,0,4,21,-
13,cpu02,-,e1/bc7507,nf-e1bc7507cc6ef47b335983f4ec40e468,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435026142,1701435026000,1701435033000,6858,1333,-,78.3,0.0,32858112,776908800,33972224,945328128,109329,990906449,249,241938,0,990904320,64,59,/input/data/work/e1/bc7507cc6ef47b335983f4ec40e468,true,-,0,-,-,-,-,-,-,-,11,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,5,1,4,20,-
17,cpu01,-,d5/a10e2a,nf-d5a10e2a9dd762dac2d70a0f03ac0785,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435026173,1701435026000,1701435033000,6827,966,-,100.5,0.0,27791360,326897664,27791360,326934528,109099,1017120824,248,248338,0,1017118720,2,7,/input/data/work/d5/a10e2a9dd762dac2d70a0f03ac0785,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,7,1,4,18,-
18,cpu01,-,48/57cdf6,nf-4857cdf671a40a490451c9bef938e774,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701435026205,1701435026000,1701435033000,6795,935,-,110.5,0.0,27607040,326897664,27607040,326934528,108962,973080642,247,237586,0,973078528,2,8,/input/data/work/48/57cdf671a40a490451c9bef938e774,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,7,0,5,19,-
