task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
30,cpu10,-,41/0b03a1,nf-410b03a187ae9f3d56ec6d8d3971db04,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670365,1701543671000,1701543678000,7635,918,-,107.3,0.0,27443200,326897664,27443200,326934528,109276,912263222,247,222738,32768,912261120,5,6,/input/data/work/41/0b03a187ae9f3d56ec6d8d3971db04,true,-,0,-,-,-,-,-,-,-,117,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,-,-,41,13,38,34,-
31,cpu10,-,4e/926b00,nf-4e926b00bdfc6125a098c342c873669c,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670417,1701543671000,1701543678000,7583,964,-,112.5,0.0,27668480,326901760,27668480,326938624,109452,969934918,250,236818,28672,969932800,5,6,/input/data/work/4e/926b00bdfc6125a098c342c873669c,true,-,0,-,-,-,-,-,-,-,103,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,9,2,5,34,-
12,cpu10,-,41/273aec,nf-41273aeca9516d80a8916d9ad910a8b2,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670461,1701543671000,1701543678000,7539,1058,-,110.2,0.0,27607040,326901760,27607040,326938624,109415,1070598180,250,261394,36864,1070596096,6,6,/input/data/work/41/273aeca9516d80a8916d9ad910a8b2,true,-,0,-,-,-,-,-,-,-,71,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,9,1,5,28,-
17,cpu09,-,99/839bdc,nf-99839bdc00f698ea2a6d1667e7a35855,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670503,1701543671000,1701543678000,7497,1041,-,97.6,0.0,27938816,326897664,27938816,326934528,109422,1017120885,250,248338,4096,1017118720,5,5,/input/data/work/99/839bdc00f698ea2a6d1667e7a35855,true,-,0,-,-,-,-,-,-,-,58,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,9,1,4,27,-
23,cpu09,-,b0/8ec05e,nf-b08ec05e6ad3fe996e5d1aad6e6cf7ec,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670548,1701543671000,1701543678000,7452,1052,-,105.2,0.0,27656192,326897664,27656192,326934528,109413,1002440812,250,244754,4096,1002438656,5,6,/input/data/work/b0/8ec05e6ad3fe996e5d1aad6e6cf7ec,true,-,0,-,-,-,-,-,-,-,34,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,11,1,4,28,-
6,cpu09,-,61/17aba3,nf-6117aba3e736fbe244001edb11b542dd,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670587,1701543671000,1701543678000,7413,1008,-,105.8,0.0,27475968,326897664,27475968,326934528,109429,1058015357,250,258322,4096,1058013184,5,5,/input/data/work/61/17aba3e736fbe244001edb11b542dd,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,8,1,5,24,-
28,cpu08,-,4a/46d2b9,nf-4a46d2b93ac8a4b040025a1434f4dff8,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670633,1701543671000,1701543678000,7367,949,-,108.6,0.0,27889664,326901760,27889664,326938624,109390,950011989,250,231954,24576,950009856,5,7,/input/data/work/4a/46d2b93ac8a4b040025a1434f4dff8,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,8,1,5,30,-
9,cpu08,-,d1/d6b511,nf-d1d6b5113a095a06bd534c941bfcaa20,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670675,1701543671000,1701543678000,7325,896,-,112.8,0.0,28045312,326897664,28045312,326934528,109248,875563109,247,213778,32768,875560960,5,6,/input/data/work/d1/d6b5113a095a06bd534c941bfcaa20,true,-,0,-,-,-,-,-,-,-,22,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,9,2,4,25,-
32,cpu08,-,27/f7188c,nf-27f7188c37acc8c6a9b3bf732c59a7cd,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670715,1701543671000,1701543678000,7285,1141,-,98.2,0.0,27635712,422281216,28499968,590700544,109448,1069549708,251,261138,45056,1069547520,109,29,/input/data/work/27/f7188c37acc8c6a9b3bf732c59a7cd,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,8,1,5,25,-
19,cpu07,-,c2/381894,nf-c2381894718e4df591e06ceb1ae0127a,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701543670756,1701543671000,1701543678000,7244,1160,-,101.3,0.0,32849920,776916992,33955840,945336320,109570,994052233,251,242706,40960,994050048,149,98,/input/data/work/c2/381894718e4df591e06ceb1ae0127a,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,9,1,5,25,-
